lemma	rank
в	1
и	2
на	3
не	4
с	5
быть	6
что	7
по	8
он	9
это	10
а	11
к	12
как	13
за	14
от	15
о	16
но	17
из	18
для	19
мы	20
они	21
она	22
который	23
то	24
его	25
свой	26
же	27
их	28
или	29
бы	30
так	31
при	32
до	33
уже	34
ещё	35
также	36
только	37
между	38
после	39
без	40
через	41
перед	42
над	43
под	44
если	45
тот	46
этот	47
весь	48
всё	49
один	50
мочь	51
сказать	52
год	53
говорить	54
стать	55
иметь	56
другой	57
себя	58
два	59
первый	60
такой	61
где	62
когда	63
очень	64
нет	65
чтобы	66
ни	67
более	68
даже	69
вот	70
время	71
надо	72
каждый	73
там	74
потому	75
здесь	76
ли	77
кто	78
чем	79
всегда	80
нас	81
сам	82
должен	83
ведь	84
кроме	85
именно	86
затем	87
вместе	88
пока	89
тоже	90
однако	91
сегодня	92
прежде	93
ныне	94
хотя	95
вновь	96
об	97
ко	98
лишь	99
ибо	100
президент	101
страна	102
российский	103
россия	104
государство	105
вопрос	106
заявить	107
являться	108
сторона	109
работа	110
решение	111
новый	112
политика	113
международный	114
отношение	115
ситуация	116
власть	117
закон	118
правительство	119
министр	120
заявление	121
развитие	122
обсуждать	123
принимать	124
встреча	125
переговоры	126
соглашение	127
договор	128
позиция	129
подписать	130
провести	131
проводить	132
действие	133
народ	134
общество	135
направление	136
интерес	137
поддержка	138
участие	139
мир	140
уровень	141
регион	142
основа	143
система	144
территория	145
условие	146
область	147
процесс	148
программа	149
задача	150
деятельность	151
структура	152
глава	153
отметить	154
подчеркнуть	155
выступить	156
обеспечить	157
руководство	158
население	159
необходимый	160
возможность	161
принять	162
считать	163
внимание	164
важный	165
существовать	166
представлять	167
направить	168
определить	169
отношения	170
ответственность	171
получить	172
дать	173
знать	174
результат	175
проблема	176
план	177
целый	178
проект	179
часть	180
место	181
ряд	182
момент	183
контроль	184
информация	185
назвать	186
подготовка	187
роль	188
период	189
порядок	190
продолжать	191
средство	192
цель	193
связь	194
число	195
состояние	196
линия	197
форма	198
рамка	199
член	200
совет	201
дело	202
образ	203
конец	204
слово	205
начало	206
значение	207
внутренний	208
внешний	209
общий	210
официальный	211
политический	212
государственный	213
главный	214
основной	215
особый	216
современный	217
значительный	218
открытый	219
большой	220
высокий	221
полный	222
последний	223
следующий	224
подобный	225
различный	226
крупный	227
дальнейший	228
данный	229
определённый	230
дипломатия	231
посол	232
делегация	233
саммит	234
представитель	235
организация	236
сотрудничество	237
урегулирование	238
резолюция	239
мандат	240
конвенция	241
ратификация	242
консультация	243
меморандум	244
декларация	245
протокол	246
хартия	247
нота	248
демарш	249
коммюнике	250
аккредитация	251
верительный	252
консульский	253
посольство	254
миссия	255
поручение	256
нейтралитет	257
суверенитет	258
независимость	259
признание	260
юрисдикция	261
граница	262
режим	263
партия	264
парламент	265
фракция	266
коалиция	267
оппозиция	268
электорат	269
мандатный	270
депутат	271
сенатор	272
спикер	273
голосование	274
выборы	275
референдум	276
законопроект	277
поправка	278
конституция	279
указ	280
постановление	281
распоряжение	282
ратифицировать	283
подтвердить	284
одобрить	285
согласовать	286
утвердить	287
координировать	288
содействовать	289
выразить	290
осудить	291
призвать	292
потребовать	293
предложить	294
настаивать	295
рекомендовать	296
гарантировать	297
обязать	298
соблюдать	299
нарушить	300
безопасность	301
оборона	302
военный	303
армия	304
войска	305
вооружение	306
ракета	307
операция	308
угроза	309
конфликт	310
нападение	311
защита	312
стратегический	313
тактический	314
ядерный	315
боевой	316
противовоздушный	317
генерал	318
командование	319
штаб	320
полк	321
бригада	322
дивизия	323
батальон	324
флот	325
авиация	326
пехота	327
артиллерия	328
разведка	329
контрразведка	330
спецназ	331
десант	332
гарнизон	333
вертолёт	334
истребитель	335
бомбардировщик	336
подводный	337
корвет	338
фрегат	339
крейсер	340
эсминец	341
торпеда	342
боеголовка	343
боеприпас	344
калибр	345
снаряд	346
мина	347
гранатомёт	348
зенитный	349
противоракетный	350
перехват	351
радар	352
комплекс	353
пуск	354
испытание	355
учение	356
манёвр	357
развёртывание	358
дислокация	359
мобилизация	360
демобилизация	361
призыв	362
контракт	363
военнослужащий	364
офицер	365
рядовой	366
сержант	367
лейтенант	368
полковник	369
маршал	370
адмирал	371
терроризм	372
экстремизм	373
радикализм	374
боевик	375
группировка	376
ликвидация	377
нейтрализация	378
обезвреживание	379
спецоперация	380
контртеррористический	381
блокпост	382
оцепление	383
разминирование	384
перемирие	385
прекращение	386
огонь	387
эскалация	388
деэскалация	389
сдерживание	390
возмездие	391
ответный	392
превентивный	393
наступление	394
контрнаступление	395
отступление	396
окружение	397
прорыв	398
плацдарм	399
фронт	400
тыл	401
фланг	402
рубеж	403
укрепление	404
фортификация	405
траншея	406
бункер	407
полигон	408
база	409
гарнизонный	410
военно-морской	411
военно-воздушный	412
сухопутный	413
оперативный	414
разведывательный	415
ударный	416
оборонительный	417
наступательный	418
десантный	419
бронетанковый	420
механизированный	421
мотострелковый	422
инженерный	423
логистический	424
снабжение	425
вооружить	426
перевооружение	427
модернизация	428
оснащение	429
поставка	430
экспорт	431
импорт	432
лицензия	433
оборонно-промышленный	434
конструктор	435
генеральный	436
главнокомандующий	437
начальник	438
заместитель	439
атташе	440
миротворец	441
миротворческий	442
контингент	443
патрулирование	444
наблюдатель	445
инспекция	446
верификация	447
разоружение	448
нераспространение	449
мораторий	450
альянс	451
блок	452
пакт	453
коллективный	454
двусторонний	455
многосторонний	456
партнёр	457
союзник	458
противник	459
агрессор	460
агрессия	461
аннексия	462
оккупация	463
интервенция	464
вторжение	465
провокация	466
инцидент	467
столкновение	468
обстрел	469
бомбардировка	470
удар	471
залп	472
канонада	473
осада	474
блокада	475
капитуляция	476
репарация	477
контрибуция	478
трибунал	479
военнопленный	480
эвакуация	481
гуманитарный	482
коридор	483
мирный	484
кибербезопасность	485
кибератака	486
информационный	487
пропаганда	488
дезинформация	489
гибридный	490
беспилотник	491
дрон	492
спутник	493
космический	494
орбитальный	495
баллистический	496
гиперзвуковой	497
крылатый	498
подавление	499
радиоэлектронный	500
экономика	501
рынок	502
торговля	503
нефть	504
газ	505
бюджет	506
санкция	507
финансовый	508
банк	509
кредит	510
инвестиция	511
капитал	512
валюта	513
рубль	514
доллар	515
евро	516
инфляция	517
дефицит	518
профицит	519
доход	520
расход	521
налог	522
пошлина	523
тариф	524
субсидия	525
дотация	526
энергетика	527
трубопровод	528
газопровод	529
нефтепровод	530
месторождение	531
добыча	532
переработка	533
экспортный	534
импортный	535
промышленность	536
производство	537
предприятие	538
отрасль	539
сектор	540
инфраструктура	541
транспорт	542
логистика	543
поставщик	544
потребитель	545
спрос	546
предложение	547
конкуренция	548
монополия	549
олигарх	550
корпорация	551
акционер	552
биржа	553
котировка	554
облигация	555
акция	556
дивиденд	557
приватизация	558
национализация	559
концессия	560
лицензирование	561
регулирование	562
регулятор	563
аудит	564
отчётность	565
прозрачность	566
коррупция	567
взятка	568
хищение	569
мошенничество	570
отмывание	571
суд	572
право	573
документ	574
комитет	575
комиссия	576
расследование	577
прокурор	578
прокуратура	579
следствие	580
следователь	581
адвокат	582
обвинение	583
защитник	584
приговор	585
арест	586
задержание	587
обыск	588
допрос	589
экстрадиция	590
амнистия	591
помилование	592
апелляция	593
кассация	594
юридический	595
правовой	596
законодательный	597
исполнительный	598
судебный	599
арбитражный	600
конституционный	601
верховный	602
федеральный	603
региональный	604
муниципальный	605
губернатор	606
мэр	607
префект	608
ведомство	609
министерство	610
департамент	611
управление	612
агентство	613
служба	614
инспектор	615
омбудсмен	616
медиа	617
пресса	618
журналист	619
корреспондент	620
редакция	621
публикация	622
репортаж	623
интервью	624
брифинг	625
конференция	626
пресс-секретарь	627
докладчик	628
комментарий	629
опровержение	630
аккредитованный	631
телеканал	632
вещание	633
цензура	634
свобода	635
оценка	636
анализ	637
прогноз	638
рейтинг	639
мониторинг	640
статистика	641
показатель	642
индекс	643
динамика	644
тенденция	645
рост	646
падение	647
стабильность	648
устойчивый	649
кризис	650
рецессия	651
стагнация	652
восстановление	653
реформа	654
модернизировать	655
диверсификация	656
либерализация	657
интеграция	658
глобализация	659
протекционизм	660
эмбарго	661
квота	662
контрсанкция	663
девальвация	664
ревальвация	665
волатильность	666
ликвидность	667
капитализация	668
рентабельность	669
себестоимость	670
маржа	671
товарооборот	672
сальдо	673
экспортёр	674
импортёр	675
грузооборот	676
транзит	677
таможня	678
декларирование	679
сертификация	680
стандартизация	681
технология	682
инновация	683
цифровизация	684
автоматизация	685
роботизация	686
искусственный	687
интеллект	688
платформа	689
сеть	690
телекоммуникация	691
частота	692
ресурс	693
сырьё	694
уголь	695
уран	696
атомный	697
электростанция	698
генерация	699
возобновляемый	700
демография	701
миграция	702
беженец	703
переселенец	704
вид	705
резидент	706
гражданство	707
паспорт	708
виза	709
регистрация	710
экология	711
климат	712
выброс	713
загрязнение	714
углеродный	715
парниковый	716
устойчивость	717
катастрофа	718
стихийный	719
наводнение	720
засуха	721
пожар	722
чрезвычайный	723
ликвидировать	724
спасатель	725
здравоохранение	726
эпидемия	727
пандемия	728
вакцина	729
карантин	730
образование	731
университет	732
академия	733
наука	734
исследование	735
институт	736
лаборатория	737
культура	738
наследие	739
религия	740
конфессия	741
идеология	742
доктрина	743
концепция	744
стратегия	745
тактика	746
методология	747
платёж	748
транзакция	749
расчёт	750
клиринг	751
взаимозачёт	752
бартер	753
ценообразование	754
демпинг	755
картель	756
консорциум	757
холдинг	758
конгломерат	759
франшиза	760
аренда	761
лизинг	762
залог	763
ипотека	764
страхование	765
пенсия	766
пособие	767
компенсация	768
индексация	769
инаугурация	770
импичмент	771
вотум	772
мажоритарный	773
пропорциональный	774
плебисцит	775
легитимность	776
правопреемство	777
автономия	778
федерация	779
конфедерация	780
унитарный	781
сепаратизм	782
ирредентизм	783
самоопределение	784
протекторат	785
доминион	786
мандатарий	787
репатриация	788
депортация	789
интернирование	790
люстрация	791
реабилитация	792
реституция	793
компромисс	794
консенсус	795
медиация	796
арбитраж	797
примирение	798
посредник	799
содействие	800
имплементация	801
ратификационный	802
денонсация	803
пролонгация	804
аннулирование	805
прецедент	806
кодекс	807
регламент	808
устав	809
статут	810
директива	811
циркуляр	812
рескрипт	813
эдикт	814
манифест	815
петиция	816
ходатайство	817
запрос	818
жалоба	819
иск	820
истец	821
ответчик	822
свидетель	823
эксперт	824
экспертиза	825
заключение	826
вердикт	827
санкционировать	828
легализовать	829
криминализировать	830
декриминализация	831
рецидив	832
пенитенциарный	833
пробация	834
надзор	835
конвой	836
экстрадировать	837
интерпол	838
разыскивать	839
подозреваемый	840
обвиняемый	841
подсудимый	842
осуждённый	843
потерпевший	844
пострадавший	845
реабилитировать	846
помиловать	847
конфисковать	848
арестовать	849
задержать	850
допросить	851
инкриминировать	852
квалифицировать	853
классифицировать	854
систематизировать	855
кодифицировать	856
стандартизировать	857
унифицировать	858
гармонизировать	859
синхронизировать	860
координация	861
субординация	862
иерархия	863
бюрократия	864
номенклатура	865
элита	866
истеблишмент	867
лоббизм	868
лоббист	869
транспарентность	870
подотчётность	871
делегировать	872
полномочие	873
компетенция	874
юрисдикционный	875
экстерриториальный	876
дипломатический	877
консульство	878
посланник	879
поверенный	880
полпред	881
резиденция	882
аудиенция	883
церемониал	884
этикет	885
протокольный	886
аккредитовать	887
отозвать	888
назначить	889
ротация	890
каденция	891
преемственность	892
легитимизация	893
делегитимизация	894
пропагандировать	895
агитация	896
мобилизовать	897
демократизация	898
авторитаризм	899
тоталитаризм	900
плюрализм	901
популизм	902
национализм	903
патриотизм	904
шовинизм	905
ксенофобия	906
дискриминация	907
сегрегация	908
апартеид	909
геноцид	910
этнический	911
межэтнический	912
межконфессиональный	913
толерантность	914
инклюзивность	915
репрезентативность	916
пропорциональность	917
субсидиарность	918
солидарность	919
взаимность	920
паритет	921
баланс	922
равновесие	923
стабилизация	924
дестабилизация	925
эскалировать	926
деэскалировать	927
нормализация	928
либерализовать	929
реструктуризация	930
оптимизация	931
рационализация	932
централизация	933
децентрализация	934
приватизировать	935
национализировать	936
монетизация	937
секвестр	938
мораторный	939
пролонгировать	940
реструктурировать	941
рефинансирование	942
субвенция	943
трансферт	944
дотационный	945
донор	946
реципиент	947
бенефициар	948
грантополучатель	949
фондирование	950
эндаумент	951
меценат	952
филантропия	953
благотворительность	954
волонтёр	955
гражданский	956
правозащитник	957
уполномоченный	958
резолютивный	959
рекомендательный	960
обязательный	961
факультативный	962
императивный	963
диспозитивный	964
коллизионный	965
материальный	966
процессуальный	967
прецедентный	968
кодификация	969
инкорпорация	970
консолидация	971
систематизация	972
аутентичный	973
легальный	974
легитимный	975
правомерный	976
неправомерный	977
противоправный	978
антиконституционный	979
экстраконституционный	980
надконституционный	981
подзаконный	982
нормативный	983
ненормативный	984
регуляторный	985
саморегулирование	986
дерегулирование	987
сорегулирование	988
квазисудебный	989
досудебный	990
внесудебный	991
межведомственный	992
надведомственный	993
ведомственный	994
отраслевой	995
межотраслевой	996
макроэкономический	997
микроэкономический	998
геополитический	999
геостратегический	1000
